date,industry,location,monthly_mean
2013-01-01,1,1,136080.87503621212
2013-01-01,1,2,177840.1151708411
2013-01-01,1,3,141632.4898576
2013-01-01,1,4,221057.7156692174
2013-01-01,1,5,178138.09486697675
2013-01-01,1,6,133400.06636716667
2013-01-01,1,7,231599.4846013793
2013-01-01,1,8,143778.173413
2013-01-01,1,9,157415.5416326316
2013-01-01,1,10,188734.5108619403
2013-01-01,2,1,416736.42894
2013-01-01,2,2,310717.4805018
2013-01-01,2,3,298712.07007454545
2013-01-01,2,4,351140.42549
2013-01-01,2,5,494606.04654999997
2013-01-01,2,6,171841.22687285714
2013-01-01,2,7,487297.31949
2013-01-01,2,8,233055.060585
2013-01-01,2,9,448125.46660214284
2013-01-01,2,10,161387.23320375002
2013-01-01,3,1,703994.1486505263
2013-01-01,3,2,391439.167405625
2013-01-01,3,3,755020.17344
2013-01-01,3,4,553634.092678
2013-01-01,3,5,810376.1617
2013-01-01,3,7,235213.61517499998
2013-01-01,3,9,1359644.654
2013-01-01,4,1,225392.17138894738
2013-01-01,4,2,163936.7463752941
2013-01-01,4,3,234087.950825
2013-01-01,4,4,220067.19935833334
2013-01-01,4,5,317354.67952857143
2013-01-01,4,6,421189.4399333333
2013-01-01,4,7,326266.310998125
2013-01-01,4,8,173225.33236083333
2013-01-01,4,9,192549.397423
2013-01-01,4,10,237743.2714
2013-01-01,5,1,594210.55884
2013-01-01,5,2,355274.9232666667
2013-01-01,5,4,664978.56125
2013-01-01,5,6,342690.8935333333
2013-01-01,5,7,323112.00485
2013-01-01,5,8,464026.25930000003
2013-01-01,5,9,720378.6211
2013-01-01,5,10,568075.0264
2013-01-01,6,1,22275239.38672
2013-01-01,7,1,244914.14315111112
2013-01-01,7,2,259645.7364
2013-01-01,7,3,542407.9782
2013-01-01,7,4,489927.180275
2013-01-01,7,5,461527.60116285714
2013-01-01,7,6,165126.7092
2013-01-01,7,7,341035.6545025
2013-01-01,7,8,257761.73773333334
2013-01-01,7,9,331074.63036666665
2013-01-01,7,10,182534.58712333333
2013-01-01,8,1,704082.43712
2013-01-01,8,2,262157.08406666666
2013-01-01,8,3,745861.0345000001
2013-01-01,8,4,317446.895378
2013-01-01,8,5,430983.60219999996
2013-01-01,8,6,313984.2658
2013-01-01,8,7,671095.39535
2013-01-01,8,8,683936.75035
2013-01-01,8,9,360024.3973909091
2013-01-01,8,10,189661.209725
2013-01-01,9,1,85600.49857
2013-01-01,9,2,410490.05807083333
2013-01-01,9,3,419558.16155
2013-01-01,9,4,1768240.41895
2013-01-01,9,7,433923.1695
2013-01-01,10,1,75360.970755
2013-01-01,10,2,229123.915275
2013-01-01,10,3,94960.9168
2013-01-01,10,4,66261.27318
2013-01-01,10,5,141428.130926
2013-01-01,10,7,308564.29565
2013-01-01,10,8,16065862.03595
2013-01-01,10,9,94815.70101
2013-02-01,1,1,152964.14465685716
2013-02-01,1,2,184168.71511169642
2013-02-01,1,3,154027.43101074075
2013-02-01,1,4,268999.4893404348
2013-02-01,1,5,175067.29816988762
2013-02-01,1,6,133898.33034786885
2013-02-01,1,7,232159.82649419355
2013-02-01,1,8,143818.09062052632
2013-02-01,1,9,159649.7781642857
2013-02-01,1,10,195806.3477857971
2013-02-01,2,1,416164.3930336111
2013-02-01,2,2,297589.05566470587
2013-02-01,2,3,237871.36085727272
2013-02-01,2,4,324845.31104999996
2013-02-01,2,5,385153.4068
2013-02-01,2,6,191055.48731
2013-02-01,2,7,405084.3379657143
2013-02-01,2,8,190189.59485999998
2013-02-01,2,9,387431.02380384615
2013-02-01,2,10,153380.63945555556
2013-02-01,3,1,714368.276807619
2013-02-01,3,2,385915.63525588234
2013-02-01,3,3,706075.32912
2013-02-01,3,4,556951.70014
2013-02-01,3,5,642796.7041
2013-02-01,3,7,266072.006925
2013-02-01,3,9,927391.44240000006
2013-02-01,4,1,236221.75375789474
2013-02-01,4,2,170751.98013764707
2013-02-01,4,3,236681.451175
2013-02-01,4,4,227593.25809666666
2013-02-01,4,5,277026.9081666667
2013-02-01,4,6,380002.94806666666
2013-02-01,4,7,357792.75829666667
2013-02-01,4,8,166591.9160275
2013-02-01,4,9,177614.58969090908
2013-02-01,4,10,251702.32137
2013-02-01,5,1,599832.3705954546
2013-02-01,5,2,339258.9426
2013-02-01,5,4,668219.19365
2013-02-01,5,5,127123.7707
2013-02-01,5,6,412962.51296666666
2013-02-01,5,7,332531.72395
2013-02-01,5,8,465910.56443333335
2013-02-01,5,9,677343.8177
2013-02-01,5,10,532769.5402
2013-02-01,6,1,18357462.33736
2013-02-01,7,1,267745.793105
2013-02-01,7,2,204777.19396714287
2013-02-01,7,3,532304.2787
2013-02-01,7,4,469606.18775
2013-02-01,7,5,422648.38381
2013-02-01,7,6,190039.6127
2013-02-01,7,7,335272.35141
2013-02-01,7,8,276793.60343333334
2013-02-01,7,9,310940.9763333333
2013-02-01,7,10,239938.051935
2013-02-01,8,1,621783.14199
2013-02-01,8,2,274665.8203
2013-02-01,8,3,667867.57375
2013-02-01,8,4,268147.00557833334
2013-02-01,8,5,309218.7345
2013-02-01,8,6,290324.1085
2013-02-01,8,7,617549.1171
2013-02-01,8,8,296340.50690000004
2013-02-01,8,9,277446.22912727273
2013-02-01,8,10,174087.7477
2013-02-01,9,1,86978.25818
2013-02-01,9,2,452046.13804708334
2013-02-01,9,3,418482.87436666666
2013-02-01,9,4,1653208.4801
2013-02-01,9,7,493200.29385
2013-02-01,10,1,76586.59493
2013-02-01,10,2,246245.53922500001
2013-02-01,10,3,92430.45544
2013-02-01,10,4,65080.57832
2013-02-01,10,5,142723.63245285716
2013-02-01,10,7,261983.34290000002
2013-02-01,10,8,15893235.615190001
2013-02-01,10,9,85800.80539
2013-02-01,10,10,92986.59175
2013-03-01,1,1,158480.51878666665
2013-03-01,1,2,176569.27735840707
2013-03-01,1,3,155081.99064555555
2013-03-01,1,4,262872.65513051284
2013-03-01,1,5,182221.69357033708
2013-03-01,1,6,132512.84122225805
2013-03-01,1,7,243373.91460548388
2013-03-01,1,8,138559.95027619047
2013-03-01,1,9,166968.1891195
2013-03-01,1,10,190341.41927550724
2013-03-01,2,1,450694.0991009459
2013-03-01,2,2,320211.640481
2013-03-01,2,3,261025.2287276923
2013-03-01,2,4,358146.3778861538
2013-03-01,2,5,433870.90925
2013-03-01,2,6,213642.49802285712
2013-03-01,2,7,390476.02080529416
2013-03-01,2,8,206076.40072
2013-03-01,2,9,448611.3644833333
2013-03-01,2,10,175636.93119
2013-03-01,3,1,844744.9426238096
2013-03-01,3,2,430789.39243588236
2013-03-01,3,3,829770.7200399999
2013-03-01,3,4,636347.35204
2013-03-01,3,5,745761.8127
2013-03-01,3,7,316079.76927499997
2013-03-01,3,9,1199311.228
2013-03-01,4,1,236178.06091105263
2013-03-01,4,2,182867.26779833334
2013-03-01,4,3,230797.09055
2013-03-01,4,4,230901.98609666666
2013-03-01,4,5,292563.2488285714
2013-03-01,4,6,462753.8507666667
2013-03-01,4,7,349408.808586
2013-03-01,4,8,172002.192155
2013-03-01,4,9,184723.79804181817
2013-03-01,4,10,252345.54359999998
2013-03-01,5,1,666021.7375227272
2013-03-01,5,2,362916.9385333333
2013-03-01,5,4,578686.250498
2013-03-01,5,5,168923.2238
2013-03-01,5,6,443321.7425333333
2013-03-01,5,7,354002.9262
2013-03-01,5,8,518473.1480333333
2013-03-01,5,9,733576.5881
2013-03-01,5,10,613496.06740000006
2013-03-01,6,1,21865386.35718
2013-03-01,7,1,249341.802657
2013-03-01,7,2,202435.6265
2013-03-01,7,3,254596.669035
2013-03-01,7,4,493358.07869999995
2013-03-01,7,5,444812.3006757143
2013-03-01,7,6,194049.1364
2013-03-01,7,7,291502.248394
2013-03-01,7,8,264478.02046666667
2013-03-01,7,9,258288.91719
2013-03-01,7,10,232852.164955
2013-03-01,8,1,615700.99079
2013-03-01,8,2,328981.99385
2013-03-01,8,3,649865.2194000001
2013-03-01,8,4,339373.85068333335
2013-03-01,8,5,280838.3382
2013-03-01,8,6,363245.4201
2013-03-01,8,7,663085.39685
2013-03-01,8,8,344083.9441
2013-03-01,8,9,318603.2592909091
2013-03-01,8,10,193036.944575
2013-03-01,9,1,124336.2179
2013-03-01,9,2,529166.1097864
2013-03-01,9,3,432474.30206666666
2013-03-01,9,4,2003529.485
2013-03-01,9,7,567435.27365
2013-03-01,10,1,73336.90168000001
2013-03-01,10,2,321285.19405
2013-03-01,10,3,92460.98898
2013-03-01,10,4,76855.10623
2013-03-01,10,5,131379.91300714287
2013-03-01,10,7,338512.6935
2013-03-01,10,8,16822429.579795003
2013-03-01,10,9,113936.3769
2013-03-01,10,10,79868.29759
2013-04-01,1,1,152341.08486633803
2013-04-01,1,2,175338.34777420168
2013-04-01,1,3,151466.41800763636
2013-04-01,1,4,241183.7697213793
2013-04-01,1,5,177145.1800621839
2013-04-01,1,6,137842.52187209678
2013-04-01,1,7,247680.1822419355
2013-04-01,1,8,138871.629615
2013-04-01,1,9,160354.7421718182
2013-04-01,1,10,202133.8765538806
2013-04-01,2,1,419980.4374188
2013-04-01,2,2,323719.2153930612
2013-04-01,2,3,236277.70432076923
2013-04-01,2,4,345605.7627792857
2013-04-01,2,5,455984.25945
2013-04-01,2,6,209446.32369857142
2013-04-01,2,7,373671.17219842103
2013-04-01,2,8,177271.76881333333
2013-04-01,2,9,460866.29563666665
2013-04-01,2,10,230561.55509555555
2013-04-01,3,1,795645.8664338095
2013-04-01,3,2,408479.9666076471
2013-04-01,3,3,749699.37202
2013-04-01,3,4,572740.5421600001
2013-04-01,3,5,677626.0412
2013-04-01,3,7,311501.22575
2013-04-01,3,9,1114125.835
2013-04-01,4,1,283587.23829473683
2013-04-01,4,2,197644.23267352942
2013-04-01,4,3,221845.415325
2013-04-01,4,4,241156.341145
2013-04-01,4,5,340902.5717190476
2013-04-01,4,6,512588.38430000003
2013-04-01,4,7,397194.89762066666
2013-04-01,4,8,189664.50017083334
2013-04-01,4,9,185479.52196545454
2013-04-01,4,10,271969.68423
2013-04-01,5,1,651782.1483481819
2013-04-01,5,2,382905.74769999995
2013-04-01,5,4,617736.78466
2013-04-01,5,5,183690.5229
2013-04-01,5,6,363110.0757
2013-04-01,5,7,342363.0894
2013-04-01,5,8,513569.3126
2013-04-01,5,9,722640.71045
2013-04-01,5,10,654678.3172
2013-04-01,6,1,21565533.78934
2013-04-01,7,1,231100.879964
2013-04-01,7,2,183074.81955625
2013-04-01,7,3,260414.325235
2013-04-01,7,4,500989.0451
2013-04-01,7,5,450295.40478285716
2013-04-01,7,6,185682.0745
2013-04-01,7,7,292681.7641616667
2013-04-01,7,8,238074.29606666666
