date,industry,location,monthly_mean
2013-01-01,1,1,136080.87503621212
2013-02-01,1,1,152964.14465685716
2013-03-01,1,1,158480.51878666665
2013-04-01,1,1,152341.08486633803
2013-05-01,1,1,170330.06531208334
2013-06-01,1,1,152575.38055561643
2013-07-01,1,1,158754.5879372152
2013-08-01,1,1,165312.8268658108
2013-09-01,1,1,147199.16998906666
2013-10-01,1,1,163408.6994903896
2013-11-01,1,1,158582.08135480518
2013-12-01,1,1,142600.88551986843
2014-01-01,1,1,143201.95340246754
2014-02-01,1,1,163401.761767375
2014-03-01,1,1,171897.33396355264
2014-04-01,1,1,149094.82871544303
2014-05-01,1,1,169036.43393551282
2014-06-01,1,1,159646.2696351948
2014-07-01,1,1,161244.05849197676
2014-08-01,1,1,155636.6939025263
2014-09-01,1,1,165516.45515511112
2014-10-01,1,1,172024.82510061224
2014-11-01,1,1,169039.8876121
2014-12-01,1,1,156885.95123979799
2015-01-01,1,1,148422.42706
2015-02-01,1,1,168023.06673472727
2015-03-01,1,1,176069.7971244144
2015-04-01,1,1,161033.65623763637
2015-05-01,1,1,161112.6636737069
2015-06-01,1,1,167896.67464224139
2015-07-01,1,1,175555.02636560344
2015-08-01,1,1,179471.82944618643
2015-09-01,1,1,173029.67331366666
2015-10-01,1,1,182737.73584577587
2015-11-01,1,1,177644.8930815652
2015-12-01,1,1,161145.46122553572
2016-01-01,1,1,148365.51209910715
2016-02-01,1,1,183981.2084140708
2016-03-01,1,1,192163.14569151786
2016-04-01,1,1,181547.95228875
2016-05-01,1,1,189700.62960626086
2016-06-01,1,1,189452.14705727273
2016-07-01,1,1,167773.57712968253
2016-08-01,1,1,193259.88579201614
2016-09-01,1,1,182641.9772313386
2016-10-01,1,1,183842.13180722223
2016-11-01,1,1,202628.21451636363
