date,industry,location,monthly_mean
2016-12-01,1,1,171549.83500563417
2016-12-01,1,2,204673.23532946582
2016-12-01,1,3,191471.85477450144
2016-12-01,1,4,198217.40189995436
2016-12-01,1,5,149632.78142935375
2016-12-01,1,6,119787.6032012904
2016-12-01,1,7,152369.31608056155
2016-12-01,1,8,130879.64743020212
2016-12-01,1,9,187963.75729629624
2016-12-01,1,10,222624.59432856314
2016-12-01,2,1,468735.39862467133
2016-12-01,2,2,519760.48653574276
2016-12-01,2,3,611468.2002205775
2016-12-01,2,4,347213.53959341487
2016-12-01,2,5,385662.41714738077
2016-12-01,2,6,391353.1143879111
2016-12-01,2,7,350108.9895486918
2016-12-01,2,8,497436.2413490995
2016-12-01,2,9,527215.68437614
2016-12-01,2,10,340561.6245995763
2016-12-01,3,1,785754.8501594686
2016-12-01,3,2,836483.9652290826
2016-12-01,3,3,820973.6976984732
2016-12-01,3,4,1256997.2452419745
2016-12-01,3,5,413035.48331774015
2016-12-01,3,7,781467.201278768
2016-12-01,3,9,946414.3315298345
2016-12-01,4,1,502676.2342569404
2016-12-01,4,2,265380.1745512014
2016-12-01,4,3,430569.2156737562
2016-12-01,4,4,520287.45425629325
2016-12-01,4,5,525613.1040232527
2016-12-01,4,6,1111249.7833746097
2016-12-01,4,7,543640.8726580583
2016-12-01,4,8,283299.4915170369
2016-12-01,4,9,283015.2359097081
2016-12-01,4,10,341644.79246315174
2016-12-01,5,1,682359.9576802083
2016-12-01,5,2,423075.0002031873
2016-12-01,5,4,333765.3254762947
2016-12-01,5,6,669918.9281807647
2016-12-01,5,7,335800.46672764496
2016-12-01,5,8,464379.6661825112
2016-12-01,5,9,509836.7765156203
2016-12-01,5,10,582569.3425374504
2016-12-01,6,1,45870154.94505344
2016-12-01,7,1,317390.403730619
2016-12-01,7,2,375832.81442871894
2016-12-01,7,3,258413.24148726574
2016-12-01,7,4,423548.69163193624
2016-12-01,7,5,325155.021069856
2016-12-01,7,6,192798.8776962872
2016-12-01,7,7,209463.42695654795
2016-12-01,7,8,261563.89378273953
2016-12-01,7,9,692904.6842989642
2016-12-01,7,10,423852.89859145024
2016-12-01,8,1,1547643.1083173554
2016-12-01,8,2,986625.6120977079
2016-12-01,8,3,1056631.4239657507
2016-12-01,8,4,468471.5250464322
2016-12-01,8,5,347827.8604717623
2016-12-01,8,6,1117711.736619473
2016-12-01,8,7,536202.5779811658
2016-12-01,8,8,919328.9981969204
2016-12-01,8,9,714900.7192163258
2016-12-01,8,10,851565.2783260297
2016-12-01,9,1,748204.6586165447
2016-12-01,9,2,1560249.817549333
2016-12-01,9,3,1415567.6054552877
2016-12-01,9,4,306403.1853734839
2016-12-01,9,7,1610926.362733254
2016-12-01,10,1,323970.4603281915
2016-12-01,10,2,399484.88726492616
2016-12-01,10,3,66595.1582
2016-12-01,10,4,306061.1885399374
2016-12-01,10,5,156338.35453672096
2016-12-01,10,7,185200.33601290477
2016-12-01,10,8,33299646.80351962
2016-12-01,10,9,69521.2329833304
2016-12-01,5,5,254765.35077714315
2016-12-01,10,10,88075.09466999999
2016-12-01,5,3,321821.1004499914
2016-12-01,9,5,1338865.1990600175
2016-12-01,9,9,1688078.4977865368
2016-12-01,9,6,2472569.705302136
2016-12-01,3,8,182919.273158441
2016-12-01,3,6,244156.07542417274
2016-12-01,3,10,455906.19261522556
2016-12-01,9,10,1506256.4063832865
