date,industry,location,monthly_mean,year,month,monthn,m3,m6
2013-01-01,1,1,136080.87503621212,2013,1,1,136080.87503621212,136080.87503621212
2013-01-01,1,2,177840.1151708411,2013,1,1,177840.1151708411,177840.1151708411
2013-01-01,1,3,141632.4898576,2013,1,1,141632.4898576,141632.4898576
2013-01-01,1,4,221057.7156692174,2013,1,1,221057.7156692174,221057.7156692174
2013-01-01,1,5,178138.09486697675,2013,1,1,178138.09486697675,178138.09486697675
2013-01-01,1,6,133400.06636716667,2013,1,1,133400.06636716667,133400.06636716667
2013-01-01,1,7,231599.4846013793,2013,1,1,231599.4846013793,231599.4846013793
2013-01-01,1,8,143778.173413,2013,1,1,143778.173413,143778.173413
2013-01-01,1,9,157415.5416326316,2013,1,1,157415.5416326316,157415.5416326316
2013-01-01,1,10,188734.5108619403,2013,1,1,188734.5108619403,188734.5108619403
2013-01-01,2,1,416736.42894,2013,1,1,416736.42894,416736.42894
2013-01-01,2,2,310717.4805018,2013,1,1,310717.4805018,310717.4805018
2013-01-01,2,3,298712.07007454545,2013,1,1,298712.07007454545,298712.07007454545
2013-01-01,2,4,351140.42549,2013,1,1,351140.42549,351140.42549
2013-01-01,2,5,494606.04654999997,2013,1,1,494606.04654999997,494606.04654999997
2013-01-01,2,6,171841.22687285714,2013,1,1,171841.22687285714,171841.22687285714
2013-01-01,2,7,487297.31949,2013,1,1,487297.31949,487297.31949
2013-01-01,2,8,233055.060585,2013,1,1,233055.060585,233055.060585
2013-01-01,2,9,448125.46660214284,2013,1,1,448125.46660214284,448125.46660214284
2013-01-01,2,10,161387.23320375002,2013,1,1,161387.23320375002,161387.23320375002
2013-01-01,3,1,703994.1486505263,2013,1,1,703994.1486505263,703994.1486505263
2013-01-01,3,2,391439.167405625,2013,1,1,391439.167405625,391439.167405625
2013-01-01,3,3,755020.17344,2013,1,1,755020.17344,755020.17344
2013-01-01,3,4,553634.092678,2013,1,1,553634.092678,553634.092678
2013-01-01,3,5,810376.1617,2013,1,1,810376.1617,810376.1617
2013-01-01,3,7,235213.61517499998,2013,1,1,235213.61517499998,235213.61517499998
2013-01-01,3,9,1359644.654,2013,1,1,1359644.654,1359644.654
2013-01-01,4,1,225392.17138894738,2013,1,1,225392.17138894738,225392.17138894738
2013-01-01,4,2,163936.7463752941,2013,1,1,163936.7463752941,163936.7463752941
2013-01-01,4,3,234087.950825,2013,1,1,234087.950825,234087.950825
2013-01-01,4,4,220067.19935833334,2013,1,1,220067.19935833334,220067.19935833334
2013-01-01,4,5,317354.67952857143,2013,1,1,317354.67952857143,317354.67952857143
2013-01-01,4,6,421189.4399333333,2013,1,1,421189.4399333333,421189.4399333333
2013-01-01,4,7,326266.310998125,2013,1,1,326266.310998125,326266.310998125
2013-01-01,4,8,173225.33236083333,2013,1,1,173225.33236083333,173225.33236083333
2013-01-01,4,9,192549.397423,2013,1,1,192549.397423,192549.397423
2013-01-01,4,10,237743.2714,2013,1,1,237743.2714,237743.2714
2013-01-01,5,1,594210.55884,2013,1,1,594210.55884,594210.55884
2013-01-01,5,2,355274.9232666667,2013,1,1,355274.9232666667,355274.9232666667
2013-01-01,5,4,664978.56125,2013,1,1,664978.56125,664978.56125
2013-01-01,5,6,342690.8935333333,2013,1,1,342690.8935333333,342690.8935333333
2013-01-01,5,7,323112.00485,2013,1,1,323112.00485,323112.00485
2013-01-01,5,8,464026.25930000003,2013,1,1,464026.25930000003,464026.25930000003
2013-01-01,5,9,720378.6211,2013,1,1,720378.6211,720378.6211
2013-01-01,5,10,568075.0264,2013,1,1,568075.0264,568075.0264
2013-01-01,6,1,22275239.38672,2013,1,1,22275239.38672,22275239.38672
2013-01-01,7,1,244914.14315111112,2013,1,1,244914.14315111112,244914.14315111112
2013-01-01,7,2,259645.7364,2013,1,1,259645.7364,259645.7364
2013-01-01,7,3,542407.9782,2013,1,1,542407.9782,542407.9782
2013-01-01,7,4,489927.180275,2013,1,1,489927.180275,489927.180275
2013-01-01,7,5,461527.60116285714,2013,1,1,461527.60116285714,461527.60116285714
2013-01-01,7,6,165126.7092,2013,1,1,165126.7092,165126.7092
2013-01-01,7,7,341035.6545025,2013,1,1,341035.6545025,341035.6545025
2013-01-01,7,8,257761.73773333334,2013,1,1,257761.73773333334,257761.73773333334
2013-01-01,7,9,331074.63036666665,2013,1,1,331074.63036666665,331074.63036666665
2013-01-01,7,10,182534.58712333333,2013,1,1,182534.58712333333,182534.58712333333
2013-01-01,8,1,704082.43712,2013,1,1,704082.43712,704082.43712
2013-01-01,8,2,262157.08406666666,2013,1,1,262157.08406666666,262157.08406666666
2013-01-01,8,3,745861.0345000001,2013,1,1,745861.0345000001,745861.0345000001
2013-01-01,8,4,317446.895378,2013,1,1,317446.895378,317446.895378
2013-01-01,8,5,430983.60219999996,2013,1,1,430983.60219999996,430983.60219999996
2013-01-01,8,6,313984.2658,2013,1,1,313984.2658,313984.2658
2013-01-01,8,7,671095.39535,2013,1,1,671095.39535,671095.39535
2013-01-01,8,8,683936.75035,2013,1,1,683936.75035,683936.75035
2013-01-01,8,9,360024.3973909091,2013,1,1,360024.3973909091,360024.3973909091
2013-01-01,8,10,189661.209725,2013,1,1,189661.209725,189661.209725
2013-01-01,9,1,85600.49857,2013,1,1,85600.49857,85600.49857
2013-01-01,9,2,410490.05807083333,2013,1,1,410490.05807083333,410490.05807083333
2013-01-01,9,3,419558.16155,2013,1,1,419558.16155,419558.16155
2013-01-01,9,4,1768240.41895,2013,1,1,1768240.41895,1768240.41895
2013-01-01,9,7,433923.1695,2013,1,1,433923.1695,433923.1695
2013-01-01,10,1,75360.970755,2013,1,1,75360.970755,75360.970755
2013-01-01,10,2,229123.915275,2013,1,1,229123.915275,229123.915275
2013-01-01,10,3,94960.9168,2013,1,1,94960.9168,94960.9168
2013-01-01,10,4,66261.27318,2013,1,1,66261.27318,66261.27318
2013-01-01,10,5,141428.130926,2013,1,1,141428.130926,141428.130926
2013-01-01,10,7,308564.29565,2013,1,1,308564.29565,308564.29565
2013-01-01,10,8,16065862.03595,2013,1,1,16065862.03595,16065862.03595
2013-01-01,10,9,94815.70101,2013,1,1,94815.70101,94815.70101
2013-02-01,1,1,152964.14465685716,2013,2,2,136080.87503621212,136080.87503621212
2013-02-01,1,2,184168.71511169642,2013,2,2,177840.1151708411,177840.1151708411
2013-02-01,1,3,154027.43101074075,2013,2,2,141632.4898576,141632.4898576
2013-02-01,1,4,268999.4893404348,2013,2,2,221057.7156692174,221057.7156692174
2013-02-01,1,5,175067.29816988762,2013,2,2,178138.09486697675,178138.09486697675
2013-02-01,1,6,133898.33034786885,2013,2,2,133400.06636716667,133400.06636716667
2013-02-01,1,7,232159.82649419355,2013,2,2,231599.4846013793,231599.4846013793
2013-02-01,1,8,143818.09062052632,2013,2,2,143778.173413,143778.173413
2013-02-01,1,9,159649.7781642857,2013,2,2,157415.5416326316,157415.5416326316
2013-02-01,1,10,195806.3477857971,2013,2,2,188734.5108619403,188734.5108619403
2013-02-01,2,1,416164.3930336111,2013,2,2,416736.42894,416736.42894
2013-02-01,2,2,297589.05566470587,2013,2,2,310717.4805018,310717.4805018
2013-02-01,2,3,237871.36085727272,2013,2,2,298712.07007454545,298712.07007454545
2013-02-01,2,4,324845.31104999996,2013,2,2,351140.42549,351140.42549
2013-02-01,2,5,385153.4068,2013,2,2,494606.04654999997,494606.04654999997
2013-02-01,2,6,191055.48731,2013,2,2,171841.22687285714,171841.22687285714
2013-02-01,2,7,405084.3379657143,2013,2,2,487297.31949,487297.31949
2013-02-01,2,8,190189.59485999998,2013,2,2,233055.060585,233055.060585
2013-02-01,2,9,387431.02380384615,2013,2,2,448125.46660214284,448125.46660214284
2013-02-01,2,10,153380.63945555556,2013,2,2,161387.23320375002,161387.23320375002
2013-02-01,3,1,714368.276807619,2013,2,2,703994.1486505263,703994.1486505263
2013-02-01,3,2,385915.63525588234,2013,2,2,391439.167405625,391439.167405625
2013-02-01,3,3,706075.32912,2013,2,2,755020.17344,755020.17344
2013-02-01,3,4,556951.70014,2013,2,2,553634.092678,553634.092678
2013-02-01,3,5,642796.7041,2013,2,2,810376.1617,810376.1617
2013-02-01,3,7,266072.006925,2013,2,2,235213.61517499998,235213.61517499998
2013-02-01,3,9,927391.44240000006,2013,2,2,1359644.654,1359644.654
2013-02-01,4,1,236221.75375789474,2013,2,2,225392.17138894738,225392.17138894738
2013-02-01,4,2,170751.98013764707,2013,2,2,163936.7463752941,163936.7463752941
2013-02-01,4,3,236681.451175,2013,2,2,234087.950825,234087.950825
2013-02-01,4,4,227593.25809666666,2013,2,2,220067.19935833334,220067.19935833334
2013-02-01,4,5,277026.9081666667,2013,2,2,317354.67952857143,317354.67952857143
2013-02-01,4,6,380002.94806666666,2013,2,2,421189.4399333333,421189.4399333333
2013-02-01,4,7,357792.75829666667,2013,2,2,326266.310998125,326266.310998125
2013-02-01,4,8,166591.9160275,2013,2,2,173225.33236083333,173225.33236083333
2013-02-01,4,9,177614.58969090908,2013,2,2,192549.397423,192549.397423
2013-02-01,4,10,251702.32137,2013,2,2,237743.2714,237743.2714
2013-02-01,5,1,599832.3705954546,2013,2,2,594210.55884,594210.55884
2013-02-01,5,2,339258.9426,2013,2,2,355274.9232666667,355274.9232666667
2013-02-01,5,4,668219.19365,2013,2,2,664978.56125,664978.56125
2013-02-01,5,5,127123.7707,2013,2,2,127123.7707,127123.7707
2013-02-01,5,6,412962.51296666666,2013,2,2,342690.8935333333,342690.8935333333
2013-02-01,5,7,332531.72395,2013,2,2,323112.00485,323112.00485
2013-02-01,5,8,465910.56443333335,2013,2,2,464026.25930000003,464026.25930000003
2013-02-01,5,9,677343.8177,2013,2,2,720378.6211,720378.6211
2013-02-01,5,10,532769.5402,2013,2,2,568075.0264,568075.0264
2013-02-01,6,1,18357462.33736,2013,2,2,22275239.38672,22275239.38672
2013-02-01,7,1,267745.793105,2013,2,2,244914.14315111112,244914.14315111112
2013-02-01,7,2,204777.19396714287,2013,2,2,259645.7364,259645.7364
2013-02-01,7,3,532304.2787,2013,2,2,542407.9782,542407.9782
2013-02-01,7,4,469606.18775,2013,2,2,489927.180275,489927.180275
2013-02-01,7,5,422648.38381,2013,2,2,461527.60116285714,461527.60116285714
2013-02-01,7,6,190039.6127,2013,2,2,165126.7092,165126.7092
2013-02-01,7,7,335272.35141,2013,2,2,341035.6545025,341035.6545025
2013-02-01,7,8,276793.60343333334,2013,2,2,257761.73773333334,257761.73773333334
2013-02-01,7,9,310940.9763333333,2013,2,2,331074.63036666665,331074.63036666665
2013-02-01,7,10,239938.051935,2013,2,2,182534.58712333333,182534.58712333333
2013-02-01,8,1,621783.14199,2013,2,2,704082.43712,704082.43712
2013-02-01,8,2,274665.8203,2013,2,2,262157.08406666666,262157.08406666666
2013-02-01,8,3,667867.57375,2013,2,2,745861.0345000001,745861.0345000001
2013-02-01,8,4,268147.00557833334,2013,2,2,317446.895378,317446.895378
2013-02-01,8,5,309218.7345,2013,2,2,430983.60219999996,430983.60219999996
2013-02-01,8,6,290324.1085,2013,2,2,313984.2658,313984.2658
2013-02-01,8,7,617549.1171,2013,2,2,671095.39535,671095.39535
2013-02-01,8,8,296340.50690000004,2013,2,2,683936.75035,683936.75035
2013-02-01,8,9,277446.22912727273,2013,2,2,360024.3973909091,360024.3973909091
2013-02-01,8,10,174087.7477,2013,2,2,189661.209725,189661.209725
2013-02-01,9,1,86978.25818,2013,2,2,85600.49857,85600.49857
2013-02-01,9,2,452046.13804708334,2013,2,2,410490.05807083333,410490.05807083333
2013-02-01,9,3,418482.87436666666,2013,2,2,419558.16155,419558.16155
2013-02-01,9,4,1653208.4801,2013,2,2,1768240.41895,1768240.41895
2013-02-01,9,7,493200.29385,2013,2,2,433923.1695,433923.1695
2013-02-01,10,1,76586.59493,2013,2,2,75360.970755,75360.970755
2013-02-01,10,2,246245.53922500001,2013,2,2,229123.915275,229123.915275
2013-02-01,10,3,92430.45544,2013,2,2,94960.9168,94960.9168
2013-02-01,10,4,65080.57832,2013,2,2,66261.27318,66261.27318
2013-02-01,10,5,142723.63245285716,2013,2,2,141428.130926,141428.130926
2013-02-01,10,7,261983.34290000002,2013,2,2,308564.29565,308564.29565
2013-02-01,10,8,15893235.615190001,2013,2,2,16065862.03595,16065862.03595
2013-02-01,10,9,85800.80539,2013,2,2,94815.70101,94815.70101
2013-02-01,10,10,92986.59175,2013,2,2,92986.59175,92986.59175
2013-03-01,1,1,158480.51878666665,2013,3,3,144522.50984653464,144522.50984653464
2013-03-01,1,2,176569.27735840707,2013,3,3,181004.41514126875,181004.41514126875
2013-03-01,1,3,155081.99064555555,2013,3,3,147829.96043417038,147829.96043417038
2013-03-01,1,4,262872.65513051284,2013,3,3,245028.6025048261,245028.6025048261
2013-03-01,1,5,182221.69357033708,2013,3,3,176602.69651843217,176602.69651843217
2013-03-01,1,6,132512.84122225805,2013,3,3,133649.19835751777,133649.19835751777
2013-03-01,1,7,243373.91460548388,2013,3,3,231879.65554778645,231879.65554778645
2013-03-01,1,8,138559.95027619047,2013,3,3,143798.13201676315,143798.13201676315
2013-03-01,1,9,166968.1891195,2013,3,3,158532.65989845863,158532.65989845863
2013-03-01,1,10,190341.41927550724,2013,3,3,192270.4293238687,192270.4293238687
2013-03-01,2,1,450694.0991009459,2013,3,3,416450.41098680557,416450.41098680557
2013-03-01,2,2,320211.640481,2013,3,3,304153.26808325294,304153.26808325294
2013-03-01,2,3,261025.2287276923,2013,3,3,268291.7154659091,268291.7154659091
2013-03-01,2,4,358146.3778861538,2013,3,3,337992.86827,337992.86827
2013-03-01,2,5,433870.90925,2013,3,3,439879.726675,439879.726675
2013-03-01,2,6,213642.49802285712,2013,3,3,181448.35709142857,181448.35709142857
2013-03-01,2,7,390476.02080529416,2013,3,3,446190.82872785715,446190.82872785715
2013-03-01,2,8,206076.40072,2013,3,3,211622.3277225,211622.3277225
2013-03-01,2,9,448611.3644833333,2013,3,3,417778.2452029945,417778.2452029945
2013-03-01,2,10,175636.93119,2013,3,3,157383.9363296528,157383.9363296528
2013-03-01,3,1,844744.9426238096,2013,3,3,709181.2127290727,709181.2127290727
2013-03-01,3,2,430789.39243588236,2013,3,3,388677.4013307537,388677.4013307537
2013-03-01,3,3,829770.7200399999,2013,3,3,730547.75128,730547.75128
2013-03-01,3,4,636347.35204,2013,3,3,555292.896409,555292.896409
2013-03-01,3,5,745761.8127,2013,3,3,726586.4329,726586.4329
