userid,date,slp.start,slp.end,slp.quality,time.in.bed,go.to.bed,wake.up,weekday,sentiment.score,mood.score,mood,temp.high,temp.low,humidity.high,precip.sum,weather.event
1,2018-04-02,2018-04-01T12:23:00Z,2018-04-01T18:46:00Z,0.56,382,22,4,Monday,0.569739,3,meh,32,20,94,3.05,"Rain , Thunderstorm"
1,2018-04-03,2018-04-02T10:30:00Z,2018-04-02T19:15:00Z,0.97,525,20,5,Tuesday,NA,NA,NA,24,20,83,0.25,NA
1,2018-04-04,2018-04-03T13:06:00Z,2018-04-03T19:32:00Z,0.71,385,23,5,Wednesday,0.5,5,rad,25,20,88,0,NA
1,2018-04-05,2018-04-04T11:36:00Z,2018-04-04T20:02:00Z,0.82,505,21,6,Thursday,NA,NA,NA,28,18,88,0,NA
1,2018-04-06,2018-04-05T13:25:00Z,2018-04-05T19:49:00Z,0.71,383,23,5,Friday,0.043855,1,awful,25,19,94,0,NA
1,2018-04-07,2018-04-06T11:33:00Z,2018-04-06T21:14:00Z,0.67,580,21,7,Saturday,0.793444,4,good,28,19,88,0,NA
1,2018-04-08,2018-04-07T10:52:00Z,2018-04-07T16:42:00Z,0.69,350,20,2,Sunday,0.816831,3,meh,27,19,94,0,NA
1,2018-04-09,2018-04-08T10:25:00Z,2018-04-08T19:55:00Z,0.95,569,20,5,Monday,0.072527,5,rad,36,19,88,0,NA
1,2018-04-10,2018-04-09T10:37:00Z,2018-04-09T22:42:00Z,0.91,724,20,8,Tuesday,0.234632,5,rad,24,19,78,0,Rain
1,2018-04-11,2018-04-10T12:55:00Z,2018-04-10T18:27:00Z,0.47,331,22,4,Wednesday,0.970774,4,good,28,20,78,0,NA
1,2018-04-12,2018-04-11T11:57:00Z,2018-04-11T19:25:00Z,0.79,448,21,5,Thursday,0.238068,3,meh,35,19,88,0,NA
1,2018-04-13,2018-04-12T12:43:00Z,2018-04-12T21:33:00Z,0.98,529,22,7,Friday,0.871713,4,good,34,23,41,0,NA
1,2018-04-14,2018-04-13T11:00:00Z,2018-04-13T19:16:00Z,0.84,495,21,5,Saturday,0.989947,5,rad,31,23,50,0,Rain
1,2018-04-15,2018-04-14T11:20:00Z,2018-04-14T20:52:00Z,1,571,21,6,Sunday,0.927291,4,good,25,18,49,0,NA
1,2018-04-16,2018-04-15T12:47:00Z,2018-04-15T21:23:00Z,0.9,515,22,7,Monday,0.697203,3,meh,31,18,56,0,NA
1,2018-04-17,2018-04-16T11:31:00Z,2018-04-16T19:35:00Z,0.81,484,21,5,Tuesday,NA,NA,NA,21,18,88,0,Rain
1,2018-04-18,2018-04-17T12:19:00Z,2018-04-17T19:47:00Z,0.63,448,22,5,Wednesday,0.040274,3,meh,22,18,68,0,NA
1,2018-04-19,2018-04-18T10:59:00Z,2018-04-18T18:42:00Z,0.75,462,20,4,Thursday,0.020541,1,awful,27,15,77,0,NA
1,2018-04-20,2018-04-19T11:49:00Z,2018-04-19T20:30:00Z,0.81,521,21,6,Friday,0.891628,4,good,22,16,94,0,NA
1,2018-04-21,2018-04-20T11:13:00Z,2018-04-20T16:22:00Z,0.46,309,21,2,Saturday,0.947665,5,rad,22,17,94,0,NA
1,2018-04-22,2018-04-21T12:29:00Z,2018-04-21T20:50:00Z,0.85,501,22,6,Sunday,0.959439,4,good,23,15,88,0,NA
1,2018-04-23,2018-04-22T12:33:00Z,2018-04-22T20:15:00Z,0.76,462,22,6,Monday,0.025364,3,meh,24,15,88,0,NA
1,2018-04-24,2018-04-23T11:33:00Z,2018-04-23T19:30:00Z,0.71,477,21,5,Tuesday,0.120537,5,rad,23,16,88,0,NA
1,2018-04-25,2018-04-24T11:30:00Z,2018-04-24T19:25:00Z,0.9,475,21,5,Wednesday,0.908867,4,good,23,14,94,0,NA
1,2018-04-26,2018-04-25T11:58:00Z,2018-04-25T20:47:00Z,0.95,529,21,6,Thursday,0.187279,3,meh,22,17,94,0,NA
1,2018-04-27,2018-04-26T12:33:00Z,2018-04-26T19:56:00Z,0.83,442,22,5,Friday,0.235496,4,good,20,16,90,4.06,Rain
1,2018-04-28,2018-04-27T11:35:00Z,2018-04-27T20:53:00Z,1,558,21,6,Saturday,0.788956,4,good,19,14,100,0.51,Rain
1,2018-04-29,2018-04-28T10:33:00Z,2018-04-28T21:21:00Z,0.83,648,20,7,Sunday,0.999303,4,good,20,13,94,10.92,"Rain , Thunderstorm"
1,2018-04-30,2018-04-29T12:23:00Z,2018-04-29T20:25:00Z,0.82,482,22,6,Monday,NA,NA,NA,19,12,94,0,Rain
2,2018-04-02,2018-04-01T14:29:06Z,2018-04-01T22:31:36Z,0.34,482,0,8,Monday,0.915258,5,rad,32,20,94,3.05,"Rain , Thunderstorm"
2,2018-04-03,2018-04-02T14:54:17Z,2018-04-02T22:15:40Z,0.72,441,0,8,Tuesday,0.120887,4,good,24,20,83,0.25,NA
2,2018-04-04,2018-04-03T15:44:46Z,2018-04-03T22:32:14Z,0.68,407,1,8,Wednesday,0.246666,3,meh,25,20,88,0,NA
2,2018-04-05,2018-04-04T15:22:15Z,2018-04-04T21:36:59Z,0.73,374,1,7,Thursday,0.060922,1,awful,28,18,88,0,NA
2,2018-04-06,2018-04-05T16:17:05Z,2018-04-05T22:20:08Z,0.7,363,2,8,Friday,0.195243,2,bad,25,19,94,0,NA
2,2018-04-07,2018-04-06T15:41:08Z,2018-04-06T23:41:14Z,0.89,480,1,9,Saturday,0.726567,4,good,28,19,88,0,NA
2,2018-04-08,2018-04-07T15:39:00Z,2018-04-07T23:45:31Z,0.84,486,1,9,Sunday,0.029628,3,meh,27,19,94,0,NA
2,2018-04-09,2018-04-08T15:00:32Z,2018-04-08T22:15:19Z,0.85,434,1,8,Monday,0.239062,1,awful,36,19,88,0,NA
2,2018-04-10,2018-04-09T15:16:30Z,2018-04-09T22:38:14Z,0.31,441,1,8,Tuesday,0.230107,3,meh,24,19,78,0,Rain
2,2018-04-11,2018-04-10T15:36:35Z,2018-04-10T21:54:56Z,0.68,378,1,7,Wednesday,0.936651,4,good,28,20,78,0,NA
2,2018-04-12,2018-04-11T15:02:52Z,2018-04-11T20:55:45Z,0.6,352,1,6,Thursday,0.886085,3,meh,35,19,88,0,NA
2,2018-04-13,2018-04-12T14:55:16Z,2018-04-12T21:30:40Z,0.72,395,0,7,Friday,0.222257,3,meh,34,23,41,0,NA
2,2018-04-14,2018-04-13T14:59:26Z,2018-04-13T22:57:45Z,0.82,478,0,8,Saturday,0.875542,4,good,31,23,50,0,Rain
2,2018-04-15,2018-04-14T15:08:49Z,2018-04-14T23:00:34Z,0.85,471,1,9,Sunday,0.5,4,good,25,18,49,0,NA
2,2018-04-16,2018-04-15T14:38:35Z,2018-04-15T21:49:07Z,0.76,430,0,7,Monday,0.058239,3,meh,31,18,56,0,NA
