Day,WeekDay,N,FirstStart,FirstStartHour,LastEnd,LastEndHour,AvgMeetingDuration,TotalMeetingTime,WorkingDayDuration,PctTimeInMeetings
3,Tuesday,5,2018-04-03T00:30:00Z,10,2018-04-03T11:00:00Z,21,81,405,630,0.75
4,Wednesday,8,2018-04-04T00:00:00Z,10,2018-04-04T08:30:00Z,18,54.375,435,510,0.8055555555555556
5,Thursday,3,2018-04-05T00:30:00Z,10,2018-04-05T04:00:00Z,14,50,150,210,0.2777777777777778
6,Friday,1,2018-04-06T05:00:00Z,15,2018-04-06T06:00:00Z,16,60,60,60,0.1111111111111111
7,Saturday,1,2018-04-06T23:00:00Z,9,2018-04-07T07:00:00Z,17,480,480,480,0.8888888888888888
9,Monday,2,2018-04-08T23:30:00Z,9,2018-04-09T05:00:00Z,15,75,150,330,0.2777777777777778
10,Tuesday,9,2018-04-09T23:00:00Z,9,2018-04-10T11:00:00Z,21,60,540,720,1
11,Wednesday,4,2018-04-11T00:00:00Z,10,2018-04-11T08:30:00Z,18,75,300,510,0.5555555555555556
12,Thursday,4,2018-04-12T01:00:00Z,11,2018-04-12T07:00:00Z,17,45,180,360,0.3333333333333333
13,Friday,5,2018-04-13T00:00:00Z,10,2018-04-13T06:30:00Z,16,72,360,390,0.6666666666666666
16,Monday,1,2018-04-16T06:30:00Z,16,2018-04-16T07:00:00Z,17,30,30,30,0.05555555555555555
17,Tuesday,9,2018-04-17T01:15:00Z,11,2018-04-17T11:00:00Z,21,50,450,585,0.8333333333333334
18,Wednesday,4,2018-04-18T00:30:00Z,10,2018-04-18T10:00:00Z,20,67.5,270,570,0.5
19,Thursday,3,2018-04-18T22:00:00Z,8,2018-04-19T04:30:00Z,14,60,180,390,0.3333333333333333
20,Friday,2,2018-04-20T02:00:00Z,12,2018-04-20T06:30:00Z,16,105,210,270,0.3888888888888889
23,Monday,2,2018-04-23T01:00:00Z,11,2018-04-23T04:00:00Z,14,60,120,180,0.2222222222222222
24,Tuesday,5,2018-04-24T01:30:00Z,11,2018-04-24T06:30:00Z,16,48,240,300,0.4444444444444444
25,Wednesday,1,2018-04-25T05:00:00Z,15,2018-04-25T05:45:00Z,15,45,45,45,0.08333333333333333
26,Thursday,2,2018-04-25T23:30:00Z,9,2018-04-26T07:00:00Z,17,60,120,450,0.2222222222222222
27,Friday,2,2018-04-27T03:00:00Z,13,2018-04-27T05:30:00Z,15,75,150,150,0.2777777777777778
