Subject,Start,End,Duration
Samer Beano's Birthday,Fri 6/04/1973 12:00 AM,Sat 7/04/1973 12:00 AM,1 day
Samer Beano's Anniversary,Thu 14/08/2003 12:00 AM,Fri 15/08/2003 12:00 AM,1 day
Rent,Sat 1/08/2009 12:00 AM,Sun 2/08/2009 12:00 AM,1 day
Wetheim - 6030 yearly maintenace,Mon 1/11/2010 10:00 PM,Mon 1/11/2010 10:30 PM,30 minutes
FW: Information Architecture and EIM Community Call,Thu 17/10/2013 2:30 AM,Thu 17/10/2013 3:30 AM,1 hour
FW: WW IoT Architecture Community calls FY15,Fri 5/09/2014 1:00 AM,Fri 5/09/2014 2:00 AM,1 hour
Prema's birthday,Thu 16/10/2014 8:00 PM,Thu 16/10/2014 8:30 PM,30 minutes
Layan's Bday ,Tue 1/11/2016 4:00 PM,Tue 1/11/2016 4:30 PM,30 minutes
Canceled: Services @ Telstra - Weekly Review,Fri 21/07/2017 2:00 PM,Fri 21/07/2017 3:00 PM,1 hour
Bi-weekly APJ Data Science Community Knowledge Sharing,Wed 1/11/2017 4:00 PM,Wed 1/11/2017 5:00 PM,1 hour
"PFE, MCS and Architects - Global Data Insight and AI Team Meeting ",Fri 24/11/2017 2:00 AM,Fri 24/11/2017 3:00 AM,1 hour
AstraZeneca - Weekly internal checkpoint,Fri 15/12/2017 10:00 AM,Fri 15/12/2017 10:30 AM,30 minutes
Bi-weekly Data Insights APJ Drop-in call,Wed 28/02/2018 4:00 PM,Wed 28/02/2018 4:45 PM,45 minutes
Canceled: Astra Zeneca- Sync up calls - BE Deck Deliverable,Wed 28/03/2018 5:00 PM,Wed 28/03/2018 5:30 PM,30 minutes
Easter Day,Sun 1/04/2018 12:00 AM,Mon 2/04/2018 12:00 AM,25 hours
Easter Monday,Mon 2/04/2018 12:00 AM,Tue 3/04/2018 12:00 AM,1 day
FW: Microsoft Meeting - Tech Discussion ,Tue 3/04/2018 10:30 AM,Tue 3/04/2018 12:30 PM,2 hours
Canceled: AstraZeneca - Safety related Scenario - Discussion around IoT Edge and Fingenics,Tue 3/04/2018 1:30 PM,Tue 3/04/2018 2:00 PM,30 minutes
Employee All Hands broadcast,Tue 3/04/2018 3:00 PM,Tue 3/04/2018 3:45 PM,45 minutes
DHS | Scope Validation,Tue 3/04/2018 3:30 PM,Tue 3/04/2018 4:00 PM,30 minutes
Data Science for Innovation - Wrk,Tue 3/04/2018 6:00 PM,Tue 3/04/2018 9:00 PM,3 hours
AZ Solution Arch,Wed 4/04/2018 10:00 AM,Wed 4/04/2018 12:00 PM,2 hours
Res. Assigned - Fonterra Co-Operative Group Limited | Power BI Request ID: 777782 | 7-Q2NZHK33a,Wed 4/04/2018 10:00 AM,Fri 29/06/2018 10:00 AM,86 days
Astra Zeneca,Wed 4/04/2018 12:00 PM,Wed 4/04/2018 12:30 PM,30 minutes
Continuation of Enhanced Bot proposition,Wed 4/04/2018 12:30 PM,Wed 4/04/2018 1:30 PM,1 hour
DHS Bots,Wed 4/04/2018 1:30 PM,Wed 4/04/2018 2:00 PM,30 minutes
"Astra Zeneca, NZ DF, TNB",Wed 4/04/2018 3:00 PM,Wed 4/04/2018 4:00 PM,1 hour
Bots @ PM&C - internal catch-up,Wed 4/04/2018 4:00 PM,Wed 4/04/2018 4:15 PM,15 minutes
Fingenics,Wed 4/04/2018 4:30 PM,Wed 4/04/2018 5:00 PM,30 minutes
How to write a report,Wed 4/04/2018 5:00 PM,Wed 4/04/2018 6:30 PM,1.5 hours
clarification questions in the different areas,Thu 5/04/2018 10:30 AM,Thu 5/04/2018 11:30 AM,1 hour
TQA Review Assigned for FY18-SVS-ACT-MCS-DHS - ITSM Bot - Phase 2 CRM:0514720 - Initial meeting,Thu 5/04/2018 12:30 PM,Thu 5/04/2018 1:00 PM,30 minutes
AZ Questions review,Thu 5/04/2018 1:00 PM,Thu 5/04/2018 2:00 PM,1 hour
FW: WW IoT Architecture community new Groups interface features,Fri 6/04/2018 12:30 AM,Fri 6/04/2018 1:00 AM,30 minutes
FW: WW IoT Architecture community new Groups interface features,Fri 6/04/2018 12:30 AM,Fri 6/04/2018 1:00 AM,30 minutes
WW Community Outlook Group Monthly call FY18,Fri 6/04/2018 1:00 AM,Fri 6/04/2018 2:00 AM,1 hour
Employee Q&A with Satya,Fri 6/04/2018 2:45 AM,Fri 6/04/2018 3:30 AM,45 minutes
MS/KPMG - reference architecture scoping call,Fri 6/04/2018 3:00 PM,Fri 6/04/2018 4:00 PM,1 hour
DAM Session ,Sat 7/04/2018 9:00 AM,Sat 7/04/2018 5:00 PM,8 hours
DSI - Task 2 Part A,Sun 8/04/2018 2:00 PM,Sun 8/04/2018 8:00 PM,6 hours
Working session on AZ deck,Mon 9/04/2018 9:30 AM,Mon 9/04/2018 11:00 AM,1.5 hours
PLaceholder for the AZ deck,Mon 9/04/2018 2:00 PM,Mon 9/04/2018 3:00 PM,1 hour
Material prep,Tue 10/04/2018 9:00 AM,Tue 10/04/2018 10:00 AM,1 hour
All Hands with Judson Althoff,Tue 10/04/2018 10:00 AM,Tue 10/04/2018 10:45 AM,45 minutes
Res. Assigned - Royal Automobile Club of WA | SQL Database Request ID: 780829 | 7-Q4F3TF2C6,Tue 10/04/2018 10:00 AM,Mon 30/04/2018 7:00 PM,489 hours
